entity,MeSH_ID
http://www.wikidata.org/entity/Q147534,D031843
http://www.wikidata.org/entity/Q146130,D031947
http://www.wikidata.org/entity/Q150572,D032429
http://www.wikidata.org/entity/Q135529,D032449
http://www.wikidata.org/entity/Q138442,D042401
http://www.wikidata.org/entity/Q137946,D042481
http://www.wikidata.org/entity/Q138449,D042521
http://www.wikidata.org/entity/Q138912,D050199
http://www.wikidata.org/entity/Q132905,D050640
http://www.wikidata.org/entity/Q135955,D050741
http://www.wikidata.org/entity/Q134624,D054817
http://www.wikidata.org/entity/Q143790,D055964
http://www.wikidata.org/entity/Q138564,D056569
http://www.wikidata.org/entity/Q141751,D058119
http://www.wikidata.org/entity/Q148710,D058131
http://www.wikidata.org/entity/Q143746,D058868
http://www.wikidata.org/entity/Q155883,C008088
http://www.wikidata.org/entity/Q155746,C084656
http://www.wikidata.org/entity/Q155954,D000068698
http://www.wikidata.org/entity/Q167336,D000074382
http://www.wikidata.org/entity/Q28038650,D000113
http://www.wikidata.org/entity/Q166118,D001109
http://www.wikidata.org/entity/Q162262,D001819
http://www.wikidata.org/entity/Q156296,D002399
http://www.wikidata.org/entity/Q159715,D002589
http://www.wikidata.org/entity/Q158103,D003690
http://www.wikidata.org/entity/Q160184,D005414
http://www.wikidata.org/entity/Q156103,D005759
http://www.wikidata.org/entity/Q156606,D008253
http://www.wikidata.org/entity/Q161238,D008279
http://www.wikidata.org/entity/Q160402,D010465
http://www.wikidata.org/entity/Q156871,D010902
http://www.wikidata.org/entity/Q167178,D012532
http://www.wikidata.org/entity/Q152282,D012752
http://www.wikidata.org/entity/Q164800,D013561
http://www.wikidata.org/entity/Q165930,D014439
http://www.wikidata.org/entity/Q153875,D015010
http://www.wikidata.org/entity/Q161655,D015057
http://www.wikidata.org/entity/Q161471,D015946
http://www.wikidata.org/entity/Q160381,D019366
http://www.wikidata.org/entity/Q161964,D019559
http://www.wikidata.org/entity/Q157881,D019663
http://www.wikidata.org/entity/Q156935,D020902
http://www.wikidata.org/entity/Q156332,D027003
http://www.wikidata.org/entity/Q155931,D027703
http://www.wikidata.org/entity/Q157184,D027883
http://www.wikidata.org/entity/Q156589,D027926
http://www.wikidata.org/entity/Q155949,D028141
http://www.wikidata.org/entity/Q156574,D028242
http://www.wikidata.org/entity/Q157811,D028722
http://www.wikidata.org/entity/Q155802,D029422
http://www.wikidata.org/entity/Q164189,D029522
http://www.wikidata.org/entity/Q162141,D029642
http://www.wikidata.org/entity/Q159545,D029768
http://www.wikidata.org/entity/Q162153,D031108
http://www.wikidata.org/entity/Q156625,D031187
http://www.wikidata.org/entity/Q161068,D031223
http://www.wikidata.org/entity/Q156680,D031234
http://www.wikidata.org/entity/Q156047,D031239
http://www.wikidata.org/entity/Q157972,D031240
http://www.wikidata.org/entity/Q158863,D031244
http://www.wikidata.org/entity/Q157211,D031315
http://www.wikidata.org/entity/Q156275,D031421
http://www.wikidata.org/entity/Q162143,D031426
http://www.wikidata.org/entity/Q161148,D031442
http://www.wikidata.org/entity/Q161250,D031501
http://www.wikidata.org/entity/Q156233,D031821
http://www.wikidata.org/entity/Q158338,D031861
http://www.wikidata.org/entity/Q158286,D031883
http://www.wikidata.org/entity/Q157964,D031994
http://www.wikidata.org/entity/Q161103,D032306
http://www.wikidata.org/entity/Q158663,D032321
http://www.wikidata.org/entity/Q158271,D032388
http://www.wikidata.org/entity/Q162928,D032443
http://www.wikidata.org/entity/Q202043,D006595
http://www.wikidata.org/entity/Q193818,D006615
http://www.wikidata.org/entity/Q202173,D006726
http://www.wikidata.org/entity/Q186969,D007052
http://www.wikidata.org/entity/Q201299,D007943
http://www.wikidata.org/entity/Q202517,D008964
http://www.wikidata.org/entity/Q188449,D009493
http://www.wikidata.org/entity/Q188651,D010777
http://www.wikidata.org/entity/Q188584,D010792
http://www.wikidata.org/entity/Q191341,D011650
http://www.wikidata.org/entity/Q188605,D011656
http://www.wikidata.org/entity/Q189522,D011803
http://www.wikidata.org/entity/Q199657,D011932
http://www.wikidata.org/entity/Q196672,D012272
http://www.wikidata.org/entity/Q201448,D012343
http://www.wikidata.org/entity/Q191381,D012439
http://www.wikidata.org/entity/Q193894,D012507
http://www.wikidata.org/entity/Q187215,D013564
http://www.wikidata.org/entity/Q187607,D013634
http://www.wikidata.org/entity/Q203174,D013792
http://www.wikidata.org/entity/Q189763,D014276
http://www.wikidata.org/entity/Q190140,D014630
http://www.wikidata.org/entity/Q205562,D015039
http://www.wikidata.org/entity/Q187487,D015127
http://www.wikidata.org/entity/Q187637,D015815
http://www.wikidata.org/entity/Q187689,D016877
http://www.wikidata.org/entity/Q187986,D017686
http://www.wikidata.org/entity/Q188728,D018907
http://www.wikidata.org/entity/Q188638,D019964
http://www.wikidata.org/entity/Q193572,D020156
http://www.wikidata.org/entity/Q188879,D020317
http://www.wikidata.org/entity/Q193145,D025041
http://www.wikidata.org/entity/Q190545,D027861
http://www.wikidata.org/entity/Q205265,D031341
http://www.wikidata.org/entity/Q189466,D034581
http://www.wikidata.org/entity/Q189484,D048529
